row	Weight.of.20.seeds	Average.cob.length	Average.cob.weight	Average.cob.width
2409		13.56666667		
2411		12.63333333		
2413		12.18333333		
2415		12.86666667		
2417	4.5	12.13333333	23.13333333	25.4
2419		13.81666667		
2421		14.38333333		
2423		12.96666667		
2425	4.4	13.48333333	18.5	24.1
2427		10.91666667		
2429		13.15		
2431		16.66666667		
2433		9.25		
2435		12.01666667	12.45	23.93333333
2437		12.03333333		
2439		11.66666667		
2441		12.08333333		
2443		12.53333333		
2445		9.933333333		
2447		10.8		
2449		12.21666667		
2451		8.866666667	6.933333333	20.4
2453		9.9	4.516666667	16.9
2455		11.58333333	12.58	23.46
2457	5.6	12.51666667	15.73333333	24.5
2459		8.916666667		
2461	4	12.11666667	9.366666667	17.5
2463		13.41666667	16.06666667	25.36666667
2465		18.26666667		
2467	5.9	16.38333333	14.43333333	20.1
2469		10.18333333	10.65	23.63333333
2471		13.03333333		
2473				
2475		11.45	19.91666667	27.83333333
2477		12.85	7.95	23
2479	4.6	13.13333333	14.63333333	25.43333333
2481	6.2	11.95	13.9	25.93333333
2483				
2501		11.6	14.68333333	25.98333333
2503		12.6	21.475	28.65
2505		9.7	11.76	22.96
2507	6.2	12.56666667	14.86666667	21.03333333
2509	5	13.16666667	15.56666667	23.9
2511	4.1	15.15	19	23.9
2513	4.5	14.68333333	18.4	22.96666667
2515	6.3	17.75	13.46666667	18
2517		12.96666667		
2519	6.7	11.2	13.66666667	23.7
2521	5.3	15.03333333	12.33333333	19.53333333
2523		9.616666667	11.28	21.32
2525		15		
2527		13.65		
2529	3	8.583333333	6.733333333	19.06666667
2531		14.88333333		
2533	3.5	9.383333333	10.06666667	23.5
2535		10.36666667		
2537		13.96666667		
2539		8.6	6.614285714	18.63333333
2541		13.57142857		
2543		15.7		
2545		10.26666667	12.31666667	23.93333333
2547		12.68333333	11.41666667	22.08333333
2549		16.11428571	11.45	19.25
2551		12.21666667		
2553		14.25	17.91666667	25.7
2555	5	16.01666667	16.76666667	20.66666667
